number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_fp_nbits,params_fp_radius,params_hidden_dim,params_lr,params_n_layers,user_attrs_test_mae,user_attrs_test_r2,user_attrs_test_rmse,user_attrs_test_samples,state
0,0.08424478769302368,2026-05-14 08:43:43.990454,2026-05-14 08:44:58.081403,0 days 00:01:14.090949,128,0.24044600469728353,1024,3,256,0.0015958573588141277,4,4.484899520874023,0.9136464595794678,6.037146339562506,6185,COMPLETE
1,0.0727270096540451,2026-05-14 08:44:58.081403,2026-05-14 08:45:43.042882,0 days 00:00:44.961479,256,0.055797544260816734,2048,2,256,0.0003135775732257748,3,4.178592205047607,0.9244089126586914,5.648420447275003,6185,COMPLETE
2,0.08519227802753448,2026-05-14 08:45:43.042882,2026-05-14 08:46:44.653008,0 days 00:01:01.610126,256,0.38625281322982374,1024,3,256,0.0023628864184236428,4,4.632468223571777,0.9089062213897705,6.200632973631131,6185,COMPLETE
3,0.07717519253492355,2026-05-14 08:46:44.653008,2026-05-14 08:47:43.155399,0 days 00:00:58.502391,128,0.20802720847112433,1024,2,256,0.0008488762161408717,2,4.281641483306885,0.9188768267631531,5.851458519290598,6185,COMPLETE
4,0.07104497402906418,2026-05-14 08:47:43.155399,2026-05-14 08:50:20.430955,0 days 00:02:37.275556,64,0.15547091587579281,2048,2,512,0.00028907721743726757,2,4.082545757293701,0.923907458782196,5.667124037890811,6185,COMPLETE
5,0.07571087032556534,2026-05-14 08:50:20.430955,2026-05-14 08:51:23.658732,0 days 00:01:03.227777,128,0.3261845713819337,1024,2,256,0.0015882886211970053,1,4.280797004699707,0.9186012148857117,5.861389302204892,6185,COMPLETE
6,0.07695112377405167,2026-05-14 08:51:23.658732,2026-05-14 08:52:33.945592,0 days 00:01:10.286860,64,0.2918424713352256,1024,2,256,0.001211130719559933,2,4.385775089263916,0.9175375699996948,5.899561086589772,6185,COMPLETE
7,0.0743420273065567,2026-05-14 08:52:33.945592,2026-05-14 08:54:39.547764,0 days 00:02:05.602172,64,0.04315657079732178,2048,3,512,0.00011308297976636003,1,4.174097537994385,0.9233546853065491,5.687671700704955,6185,COMPLETE
8,0.07697191834449768,2026-05-14 08:54:39.547764,2026-05-14 08:57:01.744965,0 days 00:02:22.197201,128,0.37187906093702927,2048,2,1024,0.0023603276001278087,1,4.328868865966797,0.9180994033813477,5.879429547411766,6185,COMPLETE
9,0.08356553316116333,2026-05-14 08:57:01.746968,2026-05-14 08:58:14.412138,0 days 00:01:12.665170,64,0.17084311545050254,2048,3,256,0.0024534801599183378,1,4.535983562469482,0.910559892654419,6.144092619336905,6185,COMPLETE
